#NODE_DATA_v1.0
#REFS
#ref
#samp_g0_3_h0
#samp_g1_4_h0
#samp_g1_0_h0
#samp_g1_0_h1
#samp_g0_1_h1
#samp_g1_3_h0
#samp_g0_22_h1
#samp_g1_2_h0
#samp_g1_14_h0
#samp_g1_30_h1
#samp_g0_3_h1
#samp_g1_5_h0
#samp_g0_0_h0
#samp_g1_33_h1
#samp_g1_7_h1
#samp_g0_50_h0
#samp_g1_41_h1
#samp_g0_4_h0
#samp_g0_6_h0
#samp_g1_25_h1
#samp_g1_3_h1
#samp_g0_25_h1
#samp_g1_8_h0
#samp_g1_62_h1
#samp_g0_1_h0
#samp_g1_20_h0
#samp_g0_27_h0
#samp_g1_7_h0
#samp_g1_8_h1
#samp_g0_32_h0
#samp_g1_32_h0
#samp_g1_2_h1
#samp_g1_5_h1
#samp_g1_12_h1
#samp_g1_81_h0
#samp_g1_16_h0
#samp_g1_13_h1
#samp_g1_4_h1
#samp_g1_22_h0
#samp_g0_78_h0
#samp_g0_19_h0
#samp_g1_36_h0
#samp_g1_10_h1
#samp_g0_9_h1
#samp_g0_13_h0
#samp_g1_18_h1
#samp_g0_14_h1
#samp_g1_29_h1
#samp_g1_1_h1
#samp_g0_0_h1
#samp_g0_2_h1
#samp_g0_56_h0
#samp_g1_17_h1
#samp_g0_9_h0
#samp_g0_10_h0
#samp_g0_37_h1
#samp_g0_49_h1
#samp_g1_6_h1
#samp_g1_21_h1
#samp_g1_6_h0
#samp_g0_33_h1
#samp_g1_27_h0
#samp_g1_26_h1
#samp_g0_5_h1
#samp_g1_1_h0
#samp_g0_11_h1
#samp_g0_75_h0
#samp_g1_62_h0
#samp_g1_30_h0
#samp_g0_43_h0
#samp_g0_29_h0
#samp_g1_23_h1
#samp_g1_91_h1
#samp_g1_57_h1
#samp_g1_97_h1
#samp_g1_38_h1
#samp_g0_69_h0
#samp_g1_70_h1
#samp_g0_64_h0
#samp_g1_45_h1
#samp_g0_79_h0
#samp_g0_20_h1
#samp_g0_8_h0
#samp_g1_50_h1
#NODES
#NODE	REF_INDEX	POSITION	DEPTH
>107	10	6714	1
>108	10	6715	0
>109	10	6790	1
>110	5	8059	1
>111	10	6791	0
>112	10	6955	1
>113	9	7131	1
>114	10	6956	0
>115	0	8161	1
>116	10	7166	1
>117	10	7167	0
>118	10	7405	1
>119	12	7294	2
>120	10	7702	2
>121	10	7703	1
>122	10	7787	0
>123	7	8747	1
>124	10	8043	1
>125	10	8044	0
>126	7	8932	1
>127	7	9113	2
>128	3	7988	2
>129	7	9114	1
>130	10	8228	0
>131	7	9445	1
>132	10	8482	1
>133	10	8483	0
>134	6	8806	1
>135	10	8695	1
>136	10	8696	0
>137	7	9791	1
>138	10	8828	1
>139	10	8829	0
>140	10	9044	1
>141	9	8838	1
>142	10	9045	0
>143	10	9273	1
>144	6	9384	1
>145	10	9274	0
>146	10	9380	1
>147	5	10908	1
>148	10	9381	0
>149	10	9582	1
>150	5	11110	1
>151	10	9583	0
>152	10	9794	1
>153	10	9993	0
>154	7	11053	1
>155	5	11571	2
>156	7	11205	2
>157	7	11206	1
>158	10	10090	0
>159	10	10190	1
>160	11	10678	1
>161	10	10191	0
>162	10	10471	1
>163	9	10620	2
>164	10	10620	2
>165	10	10621	1
>166	10	10871	2
>167	9	10871	2
>168	10	10872	1
>169	9	11030	2
>170	10	11030	2
>171	10	11031	1
>172	10	11271	0
>173	13	10841	1
>174	10	11398	1
>175	10	11399	0
>176	10	11676	1
>177	1	13188	1
>178	10	11677	0
>179	10	11853	1
>180	11	12341	1
>181	10	11854	0
>182	14	12646	1
>183	10	12151	1
>184	14	12647	0
>185	7	12867	1
>186	14	12794	1
>187	14	12795	0
>188	10	12456	1
>189	14	12951	1
>190	14	12952	0
>191	14	13246	1
>192	10	12751	1
>193	14	13247	0
>194	14	13446	1
>195	14	13532	0
>196	4	13249	1
>197	14	13634	1
>198	14	13635	0
>199	7	13865	1
>200	14	13792	0
>201	10	13400	1
>202	14	13895	1
>203	14	13896	0
>204	14	14186	1
>205	14	14399	0
>206	14	14598	1
>207	5	15037	1
>208	14	14599	0
>209	15	14589	1
>210	14	14660	1
>211	14	14661	0
>212	14	14886	1
>213	7	15246	1
>214	14	14887	0
>215	10	14409	1
>216	14	15117	1
>217	14	15118	0
>218	16	16791	1
>219	14	15400	1
>220	16	16792	0
>221	2	15478	1
>222	16	16872	0
>223	16	16984	1
>224	1	16397	1
>225	16	16985	0
>226	16	17219	1
>227	14	15828	1
>228	16	17220	0
>229	16	17504	1
>230	14	16113	1
>231	16	17505	0
>232	16	17566	1
>233	10	15467	1
>234	16	17567	0
>235	12	15745	1
>236	16	17752	1
>237	16	17753	0
>238	16	17834	1
>239	6	15934	1
>240	16	17835	0
>241	16	18048	1
>242	12	16107	2
>243	16	18114	2
>244	16	18115	1
>245	16	18401	0
>246	14	17278	1
>247	16	18669	1
>248	16	18670	0
>249	10	16743	1
>250	16	18842	1
>251	16	18843	0
>252	16	18913	1
>253	17	16722	2
>254	16	19098	2
>255	16	19099	1
>256	16	19163	2
>257	18	16641	2
>258	16	19164	1
>259	17	17003	2
>260	16	19379	2
>261	16	19380	1
>262	16	19551	0
>263	14	17669	1
>264	16	19698	1
>265	16	19699	0
>266	17	17622	1
>267	16	19998	0
>268	8	18150	1
>269	16	20142	1
>270	16	20143	0
>271	17	17972	1
>272	16	20235	1
>273	16	20236	0
>274	17	18107	1
>275	16	20370	1
>276	16	20371	0
>277	17	18286	1
>278	16	20549	0
>279	14	18577	1
>280	16	20606	1
>281	16	20607	0
>282	16	20881	1
>283	10	18426	1
>284	16	20882	0
>285	16	21125	1
>286	10	18670	1
>287	16	21126	0
>288	17	19307	1
>289	16	21401	1
>290	16	21402	0
>291	16	21598	1
>292	16	21694	0
>293	17	19886	1
>294	19	19972	2
>295	17	19983	2
>296	17	19984	1
>297	14	20324	2
>298	17	20259	2
>299	17	20260	1
>300	17	20526	2
>301	18	20098	2
>302	17	20527	1
>303	17	20780	2
>304	18	20352	2
>305	17	20781	1
>306	16	21980	0
>307	14	21039	1
>308	16	22052	1
>309	16	22053	0
>310	14	21129	1
>311	14	21272	2
>312	19	21196	2
>313	14	21273	1
>314	12	21117	2
>315	14	21451	2
>316	14	21452	1
>317	20	22352	2
>318	14	21664	2
>319	14	21665	1
>320	18	21432	2
>321	14	21925	2
>322	14	21926	1
>323	14	22143	2
>324	7	21656	2
>325	14	22144	1
>326	16	22142	0
>327	16	22259	1
>328	14	22477	1
>329	16	22260	0
>330	21	19972	1
>331	21	20266	2
>332	22	21238	2
>333	22	21239	1
>334	16	22348	0
>335	16	22624	1
>336	16	22866	0
>337	16	23086	1
>338	10	21862	1
>339	16	23087	0
>340	23	22039	1
>341	16	23145	0
>342	20	24155	1
>343	16	23249	1
>344	16	23250	0
>345	17	22448	1
>346	17	22584	2
>347	10	22438	2
>348	17	22585	1
>349	16	23526	0
>350	16	23708	1
>351	24	22186	1
>352	24	22187	0
>353	24	22379	1
>354	10	23099	1
>355	24	22380	0
>356	3	23389	1
>357	24	22620	1
>358	24	22621	0
>359	24	22748	1
>360	14	24910	1
>361	24	22749	0
>362	10	23615	1
>363	24	22895	1
>364	24	22896	0
>365	24	22994	1
>366	16	24516	1
>367	24	22995	0
>368	16	24807	1
>369	24	23285	1
>370	24	23286	0
>371	17	24443	1
>372	17	24533	2
>373	23	24758	2
>374	17	24534	1
>375	24	23577	0
>376	21	23128	1
>377	24	23659	0
>378	24	23935	1
>379	16	25457	1
>380	24	23936	0
>381	16	25625	1
>382	24	24103	1
>383	24	24104	0
>384	24	24372	1
>385	14	26693	1
>386	24	24373	0
>387	17	25604	1
>388	24	24579	1
>389	24	24580	0
>390	7	26547	1
>391	24	24872	1
>392	24	24873	0
>393	24	24949	1
>394	17	25974	1
>395	24	24950	0
>396	24	25198	1
>397	20	27785	1
>398	24	25199	0
>399	17	26348	1
>400	24	25323	1
>401	24	25324	0
>402	17	26413	1
>403	24	25388	1
>404	24	25389	0
>405	17	26645	1
>406	24	25620	1
>407	24	25621	0
>408	14	28030	1
>409	24	25709	1
>410	24	25710	0
>411	24	25898	1
>412	9	26680	1
>413	24	25899	0
>414	16	27647	1
>415	14	28553	2
>416	16	27754	2
>417	16	27755	1
>418	24	26125	0
>419	24	26405	1
>420	17	27770	1
>421	24	26406	0
>422	14	29147	1
>423	22	28202	2
>424	14	29418	2
>425	14	29419	1
>426	24	26486	0
>427	1	29364	1
>428	24	26588	1
>429	24	26589	0
>430	25	25736	1
>431	24	26683	1
>432	24	26684	0
>433	24	26820	1
>434	16	28682	1
>435	24	26821	0
>436	24	27004	1
>437	17	28369	1
>438	24	27005	0
>439	21	27417	1
>440	24	27175	0
>441	17	28822	1
>442	24	27457	0
>443	26	27083	1
>444	24	27697	1
>445	24	27698	0
>446	19	30579	1
>447	24	27994	1
>448	24	27995	0
>449	14	31150	1
>450	14	31325	2
>451	23	29914	2
>452	14	31326	1
>453	9	29546	2
>454	14	31447	2
>455	14	31448	1
>456	24	28127	0
>457	24	28413	1
>458	16	30538	2
>459	24	28676	2
>460	24	28677	1
>461	24	28795	0
>462	17	30728	1
>463	24	29072	1
>464	24	29073	0
>465	24	29324	1
>466	27	31817	2
>467	24	29576	2
>468	24	29577	1
>469	24	29788	2
>470	16	31650	2
>471	24	29789	1
>472	24	30016	2
>473	17	31672	2
>474	24	30017	1
>475	24	30182	2
>476	27	32423	2
>477	24	30183	1
>478	24	30370	2
>479	28	30720	2
>480	24	30371	1
>481	16	32520	2
>482	24	30658	2
>483	24	30659	1
>484	24	30908	2
>485	16	32770	2
>486	24	30909	1
>487	24	30968	0
>488	24	31218	1
>489	16	33232	2
>490	24	31370	2
>491	24	31371	1
>492	17	33187	2
>493	24	31531	2
>494	24	31532	1
>495	24	31711	2
>496	27	33952	2
>497	24	31712	1
>498	24	31837	0
>499	16	33920	1
>500	24	32058	1
>501	24	32059	0
>502	29	34210	1
>503	29	34415	2
>504	29	34415	2
>505	29	34416	1
>506	30	34384	2
>507	29	34546	2
>508	30	34385	1
>509	29	34666	2
>510	30	34504	2
>511	30	34505	1
>512	24	32317	0
>513	17	34039	1
>514	24	32383	0
>515	24	32463	1
>516	24	32612	0
>517	24	32691	1
>518	17	34289	1
>519	24	32692	0
>520	24	32919	1
>521	16	34632	1
>522	24	32920	0
>523	16	34702	1
>524	24	32989	1
>525	24	32990	0
>526	24	33206	1
>527	30	35310	1
>528	24	33207	0
>529	24	33414	1
>530	24	33510	2
>531	7	35467	2
>532	24	33511	1
>533	14	37102	2
>534	24	33584	2
>535	24	33585	1
>536	24	33669	2
>537	17	35267	2
>538	24	33670	1
>539	24	33855	2
>540	27	36038	2
>541	24	33856	1
>542	20	35374	2
>543	24	34027	2
>544	24	34028	1
>545	24	34210	2
>546	16	35923	2
>547	24	34211	1
>548	24	34487	0
>549	17	36207	1
>550	24	34609	1
>551	24	34610	0
>552	14	38251	1
>553	24	34733	1
>554	24	34734	0
>555	7	36955	1
>556	24	34998	1
>557	24	34999	0
>558	24	35085	1
>559	16	37013	2
>560	24	35300	2
>561	24	35301	1
>562	24	35458	0
>563	16	37394	1
>564	24	35681	1
>565	24	35682	0
>566	10	34978	1
>567	10	35232	2
>568	8	35731	2
>569	10	35233	1
>570	9	36273	2
>571	10	35395	2
>572	10	35396	1
>573	9	36563	2
>574	10	35685	2
>575	10	35686	1
>576	10	35802	2
>577	31	36561	2
>578	31	36562	1
>579	31	36624	2
>580	32	37848	2
>581	31	36625	1
>582	24	35883	0
>583	16	37685	1
>584	24	35972	1
>585	24	35973	0
>586	24	36163	1
>587	33	35828	1
>588	24	36164	0
>589	24	36427	1
>590	24	36649	2
>591	31	37687	2
>592	24	36650	1
>593	24	36786	2
>594	31	37824	2
>595	24	36787	1
>596	19	38376	2
>597	24	37031	2
>598	24	37032	1
>599	24	37083	2
>600	31	38121	2
>601	24	37084	1
>602	31	38238	2
>603	24	37200	2
>604	24	37201	1
>605	22	38169	2
>606	24	37311	2
>607	24	37312	1
>608	31	38584	2
>609	24	37546	2
>610	24	37547	1
>611	31	38678	2
>612	24	37640	2
>613	24	37641	1
>614	24	37800	2
>615	19	39145	2
>616	24	37801	1
>617	24	38034	2
>618	34	37323	2
>619	24	38035	1
>620	24	38158	0
>621	24	38332	1
>622	17	38199	1
>623	24	38333	0
>624	9	37944	1
>625	9	38010	2
>626	3	37534	2
>627	9	38011	1
>628	9	38137	2
>629	3	37661	2
>630	9	38138	1
>631	9	38421	2
>632	2	35645	2
>633	9	38422	1
>634	3	38118	2
>635	9	38594	2
>636	9	38595	1
>637	24	38518	0
>638	16	38788	1
>639	10	37561	2
>640	16	38995	2
>641	16	38996	1
>642	14	40965	2
>643	16	39160	2
>644	16	39161	1
>645	14	41080	2
>646	16	39275	2
>647	16	39276	1
>648	16	39576	2
>649	30	39967	2
>650	16	39577	1
>651	16	39705	2
>652	20	39339	2
>653	16	39706	1
>654	24	38806	0
>655	24	39085	1
>656	17	38952	1
>657	24	39086	0
>658	24	39253	1
>659	14	42057	1
>660	24	39254	0
>661	14	42259	1
>662	24	39455	1
>663	24	39456	0
>664	24	39627	1
>665	17	39494	1
>666	24	39628	0
>667	24	39926	1
>668	35	38955	1
>669	35	38956	0
>670	35	39197	1
>671	16	41286	2
>672	35	39316	2
>673	35	39317	1
>674	17	40430	2
>675	35	39592	2
>676	35	39593	1
>677	23	42144	2
>678	35	39871	2
>679	35	39872	1
>680	35	40015	2
>681	10	40551	2
>682	35	40016	1
>683	31	42161	2
>684	35	40152	2
>685	35	40153	1
>686	16	42386	2
>687	35	40416	2
>688	35	40417	1
>689	35	40496	2
>690	20	42100	2
>691	35	40497	1
>692	35	40775	0
>693	17	41893	1
>694	35	41055	1
>695	35	41056	0
>696	35	41158	1
>697	23	43431	1
>698	35	41159	0
>699	24	40671	1
>700	35	41278	1
>701	35	41279	0
>702	35	41472	1
>703	31	43481	1
>704	35	41473	0
>705	35	41532	1
>706	18	43100	1
>707	35	41533	0
>708	35	41762	1
>709	35	42048	2
>710	14	45823	2
>711	35	42049	1
>712	35	42139	2
>713	23	44412	2
>714	35	42140	1
>715	35	42356	2
>716	16	44326	2
>717	35	42357	1
>718	24	41889	2
>719	35	42496	2
>720	35	42497	1
>721	35	42722	2
>722	27	44145	2
>723	35	42723	1
>724	17	43784	2
>725	35	42946	2
>726	35	42947	1
>727	35	43169	0
>728	17	44232	1
>729	35	43394	1
>730	35	43395	0
>731	35	43514	1
>732	24	42907	1
>733	35	43515	0
>734	29	47130	1
>735	35	43802	1
>736	35	43803	0
>737	35	44008	1
>738	10	44669	2
>739	35	44133	2
>740	35	44134	1
>741	35	44209	0
>742	35	44461	1
>743	35	44550	0
>744	35	44727	1
>745	31	46736	1
>746	35	44728	0
>747	35	44973	1
>748	30	45927	1
>749	35	44974	0
>750	17	45905	1
>751	17	46150	2
>752	22	46751	2
>753	17	46151	1
>754	36	42893	2
>755	17	46347	2
>756	17	46348	1
>757	35	45067	0
>758	24	44622	1
>759	35	45229	1
>760	35	45230	0
>761	35	45397	1
>762	35	45668	0
>763	17	47211	1
>764	35	45812	1
>765	35	45813	0
>766	35	46108	1
>767	35	46285	2
>768	24	45678	2
>769	35	46286	1
>770	17	47894	2
>771	35	46495	2
>772	35	46496	1
>773	35	46729	0
>774	35	46823	1
>775	16	48918	2
>776	35	46948	2
>777	35	46949	1
>778	5	46029	2
>779	35	47135	2
>780	35	47136	1
>781	35	47329	2
>782	37	47965	2
>783	35	47330	1
>784	18	47587	2
>785	35	47426	2
>786	35	47427	1
>787	16	49517	2
>788	35	47547	2
>789	35	47548	1
>790	35	47841	0
>791	17	48440	1
>792	35	48059	1
>793	35	48060	0
>794	35	48247	1
>795	16	50217	1
>796	35	48248	0
>797	35	48436	1
>798	24	46811	1
>799	35	48437	0
>800	4	46118	1
>801	35	48671	1
>802	35	48672	0
>803	24	47299	1
>804	35	48924	1
>805	35	48925	0
>806	37	49698	1
>807	35	49062	0
>808	30	50198	1
>809	35	49244	1
>810	35	49245	0
>811	35	49492	1
>812	35	49564	0
>813	10	49198	1
>814	35	49769	1
>815	35	49770	0
>816	17	50410	1
>817	35	50029	1
>818	35	50030	0
>819	35	50284	1
>820	17	50665	1
>821	35	50285	0
>822	17	50910	1
>823	35	50529	1
>824	35	50530	0
>825	35	50609	1
>826	16	52579	1
>827	35	50610	0
>828	35	50723	1
>829	37	51452	1
>830	35	50724	0
>831	35	50830	1
>832	16	52800	1
>833	35	50831	0
>834	35	50899	1
>835	7	51474	1
>836	35	50900	0
>837	35	51073	1
>838	10	50502	1
>839	35	51074	0
>840	14	53936	1
>841	35	51179	1
>842	35	51180	0
>843	26	47022	1
>844	35	51318	1
>845	35	51319	0
>846	35	51526	1
>847	35	51728	0
>848	24	50097	1
>849	35	51924	1
>850	35	51925	0
>851	35	52059	1
>852	17	52440	1
>853	35	52060	0
>854	35	52218	1
>855	36	48943	1
>856	35	52219	0
>857	35	52422	1
>858	24	50595	1
>859	35	52423	0
>860	16	54456	1
>861	35	52688	1
>862	35	52689	0
>863	24	51131	1
>864	17	53503	2
>865	24	51295	2
>866	24	51296	1
>867	24	51539	2
>868	23	54621	2
>869	24	51540	1
>870	24	51630	2
>871	16	55225	2
>872	24	51631	1
>873	14	56398	2
>874	24	51814	2
>875	24	51815	1
>876	24	52053	2
>877	28	53550	2
>878	24	52054	1
>879	24	52318	2
>880	17	54526	2
>881	24	52319	1
>882	35	52958	0
>883	35	53142	1
>884	31	56300	1
>885	35	53143	0
>886	24	52861	1
>887	20	55152	2
>888	24	53142	2
>889	24	53143	1
>890	35	53337	0
>891	35	53543	1
>892	35	53753	2
>893	38	50337	2
>894	35	53754	1
>895	35	53972	2
>896	37	56633	2
>897	35	53973	1
>898	35	54082	2
>899	39	55059	2
>900	35	54083	1
>901	39	55318	2
>902	35	54341	2
>903	35	54342	1
>904	35	54591	0
>905	14	58378	1
>906	35	54737	1
>907	35	54738	0
>908	17	56178	1
>909	35	54913	1
>910	35	54914	0
>911	35	55185	1
>912	30	55091	1
>913	35	55186	0
>914	24	54364	1
>915	16	57531	2
>916	24	54517	2
>917	24	54518	1
>918	35	55307	0
>919	24	55013	1
>920	35	55554	1
>921	35	55555	0
>922	35	55706	1
>923	17	56971	1
>924	35	55707	0
>925	35	55856	1
>926	16	58329	1
>927	35	55857	0
>928	17	57386	1
>929	35	56121	0
>930	35	56386	1
>931	35	56624	0
>932	24	56149	1
>933	35	56690	1
>934	35	56691	0
>935	24	56405	1
>936	24	56516	2
>937	37	59480	2
>938	24	56517	1
>939	35	56946	0
>940	35	57093	1
>941	17	58182	1
>942	35	57094	0
>943	35	57166	1
>944	31	59619	1
>945	35	57167	0
>946	35	57458	1
>947	14	61501	1
>948	35	57459	0
>949	24	57241	1
>950	35	57526	1
>951	35	57527	0
>952	35	57764	1
>953	17	58853	1
>954	35	57765	0
>955	24	57756	1
>956	35	58041	1
>957	35	58042	0
>958	16	60673	1
>959	35	58200	1
>960	35	58201	0
>961	24	58106	1
>962	35	58391	0
>963	40	62251	1
>964	35	58653	1
>965	35	58654	0
>966	40	62364	1
>967	35	58766	1
>968	35	58767	0
>969	35	59021	1
>970	40	62619	1
>971	35	59022	0
>972	40	62799	1
>973	35	59201	0
>974	35	59407	1
>975	24	59334	1
>976	35	59408	0
>977	16	62237	1
>978	35	59552	1
>979	35	59553	0
>980	16	62412	1
>981	35	59727	1
>982	35	59728	0
>983	35	59900	1
>984	24	59827	1
>985	35	59901	0
>986	35	60070	1
>987	35	60256	2
>988	22	61313	2
>989	35	60257	1
>990	35	60319	2
>991	40	64209	2
>992	35	60320	1
>993	17	61781	2
>994	35	60480	2
>995	35	60481	1
>996	35	60568	2
>997	17	61869	2
>998	35	60569	1
>999	35	60741	0
>1000	35	60941	1
>1001	35	61020	0
>1002	20	62488	1
>1003	35	61265	1
>1004	35	61266	0
>1005	31	63422	1
>1006	35	61428	1
>1007	35	61429	0
>1008	35	61689	1
>1009	9	61021	2
>1010	35	61796	2
>1011	35	61797	1
>1012	41	60552	2
>1013	35	61889	2
>1014	35	61890	1
>1015	35	62034	2
>1016	9	61259	2
>1017	35	62035	1
>1018	35	62253	0
>1019	24	61778	1
>1020	35	62522	1
>1021	35	62523	0
>1022	24	61928	1
>1023	35	62672	1
>1024	35	62673	0
>1025	31	64884	1
>1026	35	62890	1
>1027	35	62891	0
>1028	35	63149	1
>1029	17	64161	2
>1030	35	63424	2
>1031	35	63425	1
>1032	35	63700	2
>1033	16	65714	2
>1034	35	63701	1
>1035	17	64638	2
>1036	35	63901	2
>1037	35	63902	1
>1038	35	64121	0
>1039	16	66378	1
>1040	9	63854	2
>1041	16	66643	2
>1042	16	66644	1
>1043	9	64074	2
>1044	16	66863	2
>1045	16	66864	1
>1046	35	64364	0
>1047	24	62868	1
>1048	35	64584	1
>1049	35	64585	0
>1050	35	64792	1
>1051	17	65529	1
>1052	35	64793	0
>1053	35	64936	1
>1054	35	65231	2
>1055	24	63515	2
>1056	35	65232	1
>1057	35	65474	0
>1058	16	68377	1
>1059	35	65728	0
>1060	40	68243	1
>1061	40	68467	2
>1062	42	63849	2
>1063	40	68468	1
>1064	40	68723	2
>1065	17	67106	2
>1066	40	68724	1
>1067	35	65889	0
>1068	35	66029	1
>1069	24	65010	1
>1070	35	66030	0
>1071	35	66087	1
>1072	40	69138	1
>1073	35	66088	0
>1074	24	65223	1
>1075	35	66242	0
>1076	42	64965	1
>1077	35	66532	1
>1078	35	66533	0
>1079	35	66620	1
>1080	24	65837	1
>1081	35	66621	0
>1082	35	66694	1
>1083	35	66783	0
>1084	35	66783	1
>1085	35	66931	1
>1086	35	66932	0
>1087	35	67039	1
>1088	43	69506	1
>1089	35	67040	0
>1090	35	67190	1
>1091	35	67266	2
>1092	17	68700	2
>1093	35	67267	1
>1094	35	67489	0
>1095	24	66973	1
>1096	24	67120	2
>1097	38	64683	2
>1098	24	67121	1
>1099	44	70985	2
>1100	24	67317	2
>1101	24	67318	1
>1102	35	67756	0
>1103	40	70889	1
>1104	35	67927	1
>1105	35	67928	0
>1106	35	68041	1
>1107	40	71003	1
>1108	35	68042	0
>1109	40	71173	1
>1110	35	68211	1
>1111	35	68212	0
>1112	35	68459	1
>1113	40	71421	1
>1114	35	68460	0
>1115	42	66748	1
>1116	42	66968	2
>1117	31	70642	2
>1118	42	66969	1
>1119	35	68703	0
>1120	14	74324	1
>1121	35	68999	0
>1122	35	69216	1
>1123	35	69448	0
>1124	40	72576	1
>1125	35	69614	1
>1126	35	69615	0
>1127	40	72633	1
>1128	40	72838	2
>1129	45	70726	2
>1130	40	72839	1
>1131	40	72901	2
>1132	16	72614	2
>1133	40	72902	1
>1134	35	69671	0
>1135	40	73234	1
>1136	35	69875	0
>1137	24	69714	1
>1138	35	69959	1
>1139	35	69960	0
>1140	35	70111	1
>1141	27	71019	1
>1142	35	70112	0
>1143	35	70240	1
>1144	35	70354	0
>1145	42	68923	1
>1146	35	70568	1
>1147	35	70569	0
>1148	40	74330	1
>1149	35	70827	1
>1150	35	70828	0
>1151	35	71123	1
>1152	17	72557	1
>1153	35	71124	0
>1154	22	72412	1
>1155	35	71285	1
>1156	35	71286	0
>1157	35	71572	1
>1158	40	75075	1
>1159	35	71573	0
>1160	35	71672	1
>1161	35	71893	2
>1162	41	71369	2
>1163	35	71894	1
>1164	35	72077	2
>1165	16	75149	2
>1166	35	72078	1
>1167	35	72335	2
>1168	40	75838	2
>1169	35	72336	1
>1170	46	71332	2
>1171	35	72394	2
